transport_,new_source,new_destination
iterator_v2: 1494,vertica_writer.partners.order_metaorder,vertica_writer.dm_maker_sandbox.market_dashboard
iterator_v2: 1282,vertica_writer.ostrota.fidelity_fidelityaccount,vertica_writer.dm_maker_sandbox.session_multichannel_v4
iterator_v2: 1658,vertica_writer.crm.supply_supply,vertica_writer.dm_maker_sandbox.apart_fraud_RnA
iterator_v2: 1410,vertica_writer.partners.partners_tipsrule,vertica_writer.analytics.b2b_contract
iterator_v2: 1329,vertica_writer.content.content_snapshot_history,vertica_writer.dm_maker_sandbox.matching_sessions_v5
iterator_v2: 1135,vertica_writer.rnd.fnb_predictions_history,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 1398,vertica_writer.public.rate_reprice_kafka,vertica_writer.dm_maker_sandbox.supplier_why_not_selling_v5
iterator_v2: 430,vertica_writer.analytics.sessions,vertica_writer.dm_maker_sandbox.url_bookings
iterator_v2: 387,vertica_writer.ostrota.orders_orderhotcorerate,vertica_writer.dm_maker_sandbox.penalty_for_reconcile_v1
iterator_v2: 1235,vertica_writer.analytics.hit_funnel,vertica_writer.dm_maker_sandbox.b2b_registration_form_channel_v11
iterator_v2: 144,vertica_writer.mailota.mail_mailcontact,vertica_writer.dm_maker_sandbox.b2c_mailota
iterator_v2: 295,vertica_writer.ostrota.monitoring_orderlog,vertica_writer.analytics.failed_orderitem
iterator_v2: 802,vertica_writer.analytics.hit_funnel,vertica_writer.dm_maker_sandbox.bandit_iterator_v2
iterator_v2: 494,vertica_writer.ostrota.fidelity_fidelityaccount,vertica_writer.dm_maker_sandbox.fidelity_transactions_economics
iterator_v2: 1394,vertica_writer.public.booking_cancellation,vertica_writer.dm_maker_sandbox.session_multichannel_v7
iterator_v2: 1131,vertica_writer.partners.avia_orderitem_history,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 785,vertica_writer.static.point_of_sale,vertica_writer.dm_maker_sandbox.order_descriptive_attributes_v6
iterator_v2: 790,vertica_writer.partners.order_metaorder,vertica_writer.dm_maker_sandbox.payota_data_v5
iterator_v2: 319,vertica_writer.content.otahotel_content,vertica_writer.dm_maker_sandbox.metasearch_cost
iterator_v2: 1215,vertica_writer.hotcore.request_partner,vertica_writer.dm_maker_sandbox.b2b_api_l2b_v2
iterator_v2: 352,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.webuser_info
iterator_v2: 1068,vertica_writer.intranet.ostrovok_users,vertica_writer.dm_maker_sandbox.precheck_ops_report_v2
iterator_v2: 1308,vertica_writer.analytics.sessions,vertica_writer.dm_maker_sandbox.sessions_overwrite_v1
iterator_v2: 619,vertica_writer.diadmin.marketing_costtype,vertica_writer.analytics.cost_cpc
iterator_v2: 547,vertica_writer.analytics.otahotel,vertica_writer.dm_maker_sandbox.inventory_dahsboard_data
iterator_v2: 1416,vertica_writer.antifraud.fraudulent_orders,vertica_writer.dm_maker_sandbox.order_descriptive_attributes_v11
iterator_v2: 1132,vertica_writer.transfers.transfer_billing_details_history,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 1182,vertica_writer.logs.dzen_access_json,vertica_writer.dm_maker_sandbox.web_analytics_monitoring_base_v6
iterator_v2: 843,vertica_writer.hotcore.source_tags_parsed,vertica_writer.dm_maker_sandbox.b2b_api_hotel_page_request
iterator_v2: 1166,vertica_writer.analytics.hit_funnel,vertica_writer.dm_maker_sandbox.discrepancy_tool_v2
iterator_v2: 107,vertica_writer.ppc.yandex_stat,vertica_writer.ppc.yandex_sessions_cost_after_20180101
iterator_v2: 443,vertica_writer.ostrota.fidelity_fidelityaccount,vertica_writer.dm_maker_sandbox.potential_visa_metrics
iterator_v2: 1280,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.blog_article_economics_v6
iterator_v2: 822,vertica_writer.asterisk.cdr_channels,vertica_writer.dm_maker_sandbox.ops_costs_incident_resolution_calls_to_ticket_data
iterator_v2: 1608,vertica_writer.analytics.hit_funnel,vertica_writer.dm_maker_sandbox.serp_df
iterator_v2: 909,vertica_writer.partners.partners_partner,vertica_writer.dm_maker_sandbox.b2b_kind_self_calculations
iterator_v2: 917,vertica_writer.partners.auth_user,vertica_writer.analytics.b2b_sales_manager_desktop
iterator_v2: 1568,vertica_writer.analytics.hotel,vertica_writer.dm_maker_sandbox.pricing_bar_based_modifiers_b2c_snapshot
iterator_v2: 1255,vertica_writer.partners.partners_contract,vertica_writer.analytics.b2b_registration_form_channel
iterator_v2: 1130,vertica_writer.crm.event_history,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 1423,vertica_writer.antifraud.fraud_type2action,vertica_writer.analytics.order_descriptive_attribute
iterator_v2: 1217,vertica_writer.public.upsell,vertica_writer.dm_maker_sandbox.session_multichannel_v2
iterator_v2: 1197,vertica_writer.partners.partners_partner,vertica_writer.dm_maker_sandbox.cost_processing_partner_modifier_v2
iterator_v2: 1376,vertica_writer.dimensions.session_channel_level,vertica_writer.dm_maker_sandbox.attribution_proportion_smearing_test
iterator_v2: 494,vertica_writer.ostrota.fidelity_fidelitytransaction,vertica_writer.dm_maker_sandbox.fidelity_transactions_economics
iterator_v2: 1638,vertica_writer.public.booking_cancellation,vertica_writer.dm_maker_sandbox.b2b_managers_financial_metrics_v2
iterator_v2: 1123,vertica_writer.ostrota.fidelity_fidelitypromise_history,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 1368,vertica_writer.dimensions.session_channel_level,vertica_writer.dm_maker_sandbox.order_session_2000
iterator_v2: 435,vertica_writer.analytics.otahotel,vertica_writer.dm_maker_sandbox.hotel_gallery_snapshot
iterator_v2: 1528,vertica_writer.analytics.agent_team_history,vertica_writer.dm_maker_sandbox.opscost_attribution_actions
iterator_v2: 1130,vertica_writer.crm.event,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 898,vertica_writer.analytics.currency_converter,vertica_writer.dm_maker_sandbox.b2b_account_manager_desktop
iterator_v2: 869,vertica_writer.static.supplier_override_pricing_fact,vertica_writer.dm_maker_sandbox.order_extra_profit_override_v4
iterator_v2: 1141,vertica_writer.analytics.calendar,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 574,vertica_writer.analytics.hit_funnel,vertica_writer.dm_maker_sandbox.session_adunit
iterator_v2: 1012,vertica_writer.dimensions.session_channel_level,vertica_writer.analytics.cost_marketing
iterator_v2: 447,vertica_writer.content.chain,vertica_writer.dm_maker_sandbox.hotcore_bar_rates_daily_history
iterator_v2: 633,vertica_writer.public.session_v2,vertica_writer.analytics.attribution_order_hotel_channels
iterator_v2: 242,vertica_writer.public.booking_cancellation,vertica_writer.dm_maker_sandbox.booking_channels_smeared
iterator_v2: 1033,vertica_writer.weblogs2.hc_event,vertica_writer.dm_maker_sandbox.b2b_registration_form_channel_v2
iterator_v2: 1592,vertica_writer.crm.crm_asterisk_attachedcall,vertica_writer.dm_maker_sandbox.opscost_attribution_entities
iterator_v2: 1142,vertica_writer.partners.referral_program_referee_history,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 1379,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.attribution_proportion_smearing_test3
iterator_v2: 451,vertica_writer.content.content_otahotel,vertica_writer.dm_maker_sandbox.bar_rates_prices
iterator_v2: 807,vertica_writer.ostrota.fidelity_fidelitytransaction,vertica_writer.dm_maker_sandbox.order_descriptive_attributes_v9
iterator_v2: 1203,vertica_writer.analytics.region,vertica_writer.analytics.stat_crm_hotel_priority_data
iterator_v2: 199,vertica_writer.analytics.sessions,vertica_writer.dm_maker_sandbox.b2c_markup
iterator_v2: 976,vertica_writer.public.rate_reprice_kafka,vertica_writer.dm_maker_sandbox.supplier_why_not_selling
iterator_v2: 127,vertica_writer.extranet.hotels,vertica_writer.analytics.incident_predictions_model
iterator_v2: 778,vertica_writer.ostrota.monitoring_errorcode,vertica_writer.dm_maker_sandbox.order_descriptive_attributes_v2
iterator_v2: 1157,vertica_writer.partners.b2b_b2bpartnershiprequest,vertica_writer.dm_maker_sandbox.b2b_partnership_request_activation
iterator_v2: 1384,vertica_writer.analytics.upsell,vertica_writer.dm_maker_sandbox.session_multichannel_v6
iterator_v1: 48,vertica_writer.weblogs2.action_tracker,vertica_writer.analytics.product_bookings_v2
iterator_v2: 881,vertica_writer.analytics.currency_history,vertica_writer.analytics.cost_marketing
iterator_v2: 1335,vertica_writer.analytics.currency_converter,vertica_writer.dm_maker_sandbox.order_extra_profit_override_info
iterator_v2: 1261,vertica_writer.partners.partners_segmentation_property,vertica_writer.dm_maker_sandbox.b2b_product_metrics_dashboard_empty
iterator_v2: 1651,vertica_writer.crm.supply_supply,vertica_writer.dm_maker_sandbox.extranet_inventory_data_v1
iterator_v2: 640,vertica_writer.diadmin.marketing_costtype,vertica_writer.analytics.cost_cpc
iterator_v2: 545,vertica_writer.partners.partners_contract,vertica_writer.analytics.b2b_partner
iterator_v2: 945,vertica_writer.metasearch.reports_google_performance,vertica_writer.analytics.cost_marketing
iterator_v2: 1388,vertica_writer.analytics.order_base,vertica_writer.dm_maker_sandbox.order_descriptive_attributes_v10
iterator_v2: 480,vertica_writer.ostrota.fidelity_fidelityaccounttype,vertica_writer.dm_maker_sandbox.fidelitytransaction_booking
iterator_v2: 970,vertica_writer.analytics.ticket,vertica_writer.rnd.source_incidents_tpp
iterator_v2: 152,vertica_writer.partners.payment_payotapaymentorder,vertica_writer.dm_maker_sandbox.ordergroup_payment
iterator_v2: 1343,vertica_writer.partners.partners_contractdata,vertica_writer.dm_maker_sandbox.b2b_partner_check
iterator_v2: 1516,vertica_writer.crm.profile_userconfig,vertica_writer.dm_maker_sandbox.opscost_attribution_actions
iterator_v2: 780,vertica_writer.analytics.webusers,vertica_writer.dm_maker_sandbox.order_session
iterator_v2: 1009,vertica_writer.partners.partners_partner,vertica_writer.dm_maker_sandbox.b2b_market_dashboard
iterator_v2: 1445,vertica_writer.extranet.hotels_rateplan_room_categories_history,vertica_writer.dm_maker_sandbox.extranet_rates_data_aggregated_v2
iterator_v2: 375,vertica_writer.analytics.currency_history,vertica_writer.analytics_sandbox.metasearch_cost_20190530
iterator_v2: 902,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.extranet_availability_metric
iterator_v2: 299,vertica_writer.public.region,vertica_writer.dm_maker_sandbox.metasearch_cost
iterator_v2: 411,vertica_writer.content.otahotel_content,vertica_writer.analytics.meta_costs
iterator_v2: 875,vertica_writer.analytics.b2b_partner_portrait,vertica_writer.dm_maker_sandbox.search_destination
iterator_v2: 632,vertica_writer.static.booking_channel_source,vertica_writer.analytics.attribution_order_hotel_channels
iterator_v2: 583,vertica_writer.analytics.hit_funnel,vertica_writer.dm_maker_sandbox.sessions_clicktipz_session
iterator_v2: 1529,vertica_writer.ostrota.orders_order,vertica_writer.dm_maker_sandbox.order_channel_level
iterator_v2: 1452,vertica_writer.analytics.order_base,vertica_writer.dm_maker_sandbox.order_session_test
iterator_v2: 557,vertica_writer.partners.partners_contract,vertica_writer.dm_maker_sandbox.session_after20170101
iterator_v2: 988,vertica_writer.partners.partners_contract,vertica_writer.dm_maker_sandbox.b2b_registration_form_channel_v2
iterator_v2: 573,vertica_writer.etl.ticker_calendar_hour,vertica_writer.dm_maker_sandbox.web_analytics_monitoring_http_v5
iterator_v2: 1518,vertica_writer.analytics.stat_crm_hotel_priority_data_history,vertica_writer.dm_maker_sandbox.extranet_inventory_events_v2
iterator_v2: 1078,vertica_writer.partners.b2b_b2bordergroup,vertica_writer.dm_maker_sandbox.completeness_history_check
iterator_v2: 1608,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.serp_df
iterator_v2: 1138,vertica_writer.static.supplier_override_pricing_history,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 1443,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.attribution_proportion_smearing_test4
iterator_v2: 1101,vertica_writer.ostrota.fidelity_fidelityaccount_history,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 1311,vertica_writer.static.domain,vertica_writer.dm_maker_sandbox.order_brand
iterator_v2: 821,vertica_writer.diadmin.operations_agentcost,vertica_writer.dm_maker_sandbox.ops_costs_incident_resolution_employee_data
iterator_v2: 1660,vertica_writer.extranet.hotels_hotel,vertica_writer.dm_maker_sandbox.apart_fraud_RnA
iterator_v2: 180,vertica_writer.payota.payment_operation,vertica_writer.actualize.partners_ordergroup_payment
iterator_v2: 1056,vertica_writer.analytics.sessions,vertica_writer.analytics.cost_marketing
iterator_v2: 1624,vertica_writer.analytics.sessions,vertica_writer.dm_maker_sandbox.extranet_hotels_hotelpages_displays
iterator_v1: 87,vertica_writer.ostrota.orders_booklog,vertica_writer.analytics.booking_process
iterator_v2: 759,vertica_writer.hotcore.request_otahotel,vertica_writer.dm_maker_sandbox.l2b_partner_hotel
iterator_v2: 34,vertica_writer.analytics.sessions,vertica_writer.analytics.kpis_cpc_costs
iterator_v2: 1132,vertica_writer.transfers.transfer_driver_car_info,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 1138,vertica_writer.analytics.calendar,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 567,vertica_writer.analytics.currency_converter,vertica_writer.dm_maker_sandbox.sessions_adunits
iterator_v2: 28,vertica_writer.ostrota.orders_orderitemconfirmationlog,vertica_writer.analytics.booking_process
iterator_v2: 1290,vertica_writer.ostrota.orders_orderhotcorerate,vertica_writer.actualize.order_original_hotcore_rate
iterator_v2: 1076,vertica_writer.avia.avia_baggage,vertica_writer.dm_maker_sandbox.completeness_history_check
iterator_v2: 1028,vertica_writer.static.geo_info,vertica_writer.dm_maker_sandbox.sales_structure_v110
iterator_v2: 572,vertica_writer.dm_maker_sandbox.web_analytics_monitoring_http_v4,vertica_writer.dm_maker_sandbox.web_analytics_monitoring_http_v4
iterator_v2: 1173,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.filters_in_searches_daily_v2
iterator_v2: 787,vertica_writer.partners.order_metaorder,vertica_writer.dm_maker_sandbox.payota_data_v4
iterator_v2: 1611,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.serp_df
iterator_v2: 140,vertica_writer.analytics.ticket,vertica_writer.analytics.potential_b2b_metrics
iterator_v2: 287,vertica_writer.public.region,vertica_writer.dm_maker_sandbox.metasearch_cost
iterator_v2: 1112,vertica_writer.static.office_ips,vertica_writer.dm_maker_sandbox.order_test_2
iterator_v2: 1097,vertica_writer.analytics.region,vertica_writer.dm_maker_sandbox.sales_structure_v111
iterator_v2: 1388,vertica_writer.ostrota.fidelity_fidelitytransaction,vertica_writer.dm_maker_sandbox.order_descriptive_attributes_v10
iterator_v2: 1615,vertica_writer.static.geo_info,vertica_writer.dm_maker_sandbox.profit_metric_tpp_v1
iterator_v2: 1441,vertica_writer.partners.partners_contractdata,vertica_writer.dm_maker_sandbox.b2b_account_manager_desktop_v3
iterator_v2: 283,vertica_writer.content.content_otahotel,vertica_writer.dm_maker_sandbox.metasearch_cost
iterator_v2: 752,vertica_writer.analytics.sessions,vertica_writer.dm_maker_sandbox.sessions_other_media
iterator_v2: 599,vertica_writer.analytics.hit_funnel,vertica_writer.dm_maker_sandbox.hotelpage_score_data
iterator_v2: 684,vertica_writer.analytics.test_order,vertica_writer.dm_maker_sandbox.booking_base_v2
iterator_v2: 834,vertica_writer.partners.stat_orderitem,vertica_writer.dm_maker_sandbox.order_payota_b2b
iterator_v2: 1619,vertica_writer.analytics.otahotel,vertica_writer.dm_maker_sandbox.profit_metric_tpp_v2
iterator_v2: 1619,vertica_writer.public.region2geo,vertica_writer.dm_maker_sandbox.profit_metric_tpp_v2
iterator_v2: 948,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.order_base_info
iterator_v2: 511,vertica_writer.weblogs2.hc_displays,vertica_writer.dm_maker_sandbox.analytics_serp
iterator_v2: 1032,vertica_writer.analytics.product_sessions,vertica_writer.dm_maker_sandbox.hotelpage_show_dashboard_data_v1
iterator_v2: 331,vertica_writer.metasearch.tripadvisor_cpa_markets,vertica_writer.dm_maker_sandbox.metasearch_cost
iterator_v2: 501,vertica_writer.public.booking,vertica_writer.analytics.visa_suspicious_orders
iterator_v2: 974,vertica_writer.partners.partners_contract,vertica_writer.dm_maker_sandbox.b2b_registration_form_channel
iterator_v2: 766,vertica_writer.payota.payment_operation,vertica_writer.dm_maker_sandbox.payota_data_v2
iterator_v2: 309,vertica_writer.payota.payment,vertica_writer.actualize.payment_b2c
iterator_v2: 1649,vertica_writer.analytics.sessions,vertica_writer.dm_maker_sandbox.sessions_overwrite_last_paid
iterator_v2: 878,vertica_writer.hotcore.request_ods,vertica_writer.dm_maker_sandbox.b2b_api_hotel_page_request_v6
iterator_v2: 1548,vertica_writer.public.booking,vertica_writer.analytics.market_dashboard_source
iterator_v2: 327,vertica_writer.static.brand_name,vertica_writer.dm_maker_sandbox.metasearch_cost
iterator_v2: 1230,vertica_writer.weblogs2.hc_event,vertica_writer.dm_maker_sandbox.b2b_registration_form_channel_check_duplicates_v2
