transport_,src_conn,dst_conn,source_,destination_,source_hash,destination_hash
iterator_v2: 1431,vertica_writer,vertica_writer,partners.partners_etglegalentity,analytics.order_vat,136771129924523901,3476331461349599982
iterator_v2: 555,vertica_writer,vertica_writer,media.itm_revenue_sessions,dm_maker_sandbox.comparison_sessions,6036289476764752053,8940761198657377043
iterator_v2: 1571,vertica_writer,vertica_writer,transfers.transfer_order,dm_maker_sandbox.transfer_order_v2,5074906262501105971,3358192814760971801
iterator_v2: 1280,vertica_writer,vertica_writer,analytics.hit_funnel,dm_maker_sandbox.blog_article_economics_v6,3146418025069425003,5458486315191705825
iterator_v2: 843,vertica_writer,vertica_writer,hotcore.source_tags_parsed,dm_maker_sandbox.b2b_api_hotel_page_request,6389088595077428457,6321840888352983843
iterator_v2: 1141,vertica_writer,vertica_writer,partners.rail_billingdetail,dm_maker_sandbox.historical_data_completeness,2330403718781486724,1564456047364042239
iterator_v2: 1486,vertica_writer,vertica_writer,analytics.product_sessions,dm_maker_sandbox.b2b_product_conversion_v3_test,3502172141479995682,1348003877205467540
iterator_v2: 1185,vertica_writer,vertica_writer,partners.avia_orderitem,dm_maker_sandbox.b2b_partner_credit_risk_v2,2408181764072403202,2579099319746126063
iterator_v2: 1497,vertica_writer,vertica_writer,ostrota.orders_orderhotcorerate_raw,dm_maker_sandbox.rate_payment_types,8755367300104534929,6014446309415736613
iterator_v2: 1435,vertica_writer,vertica_writer,public.booking_cancellation,dm_maker_sandbox.kpis_revenue_multichannel_v3,7731680662453010698,306036787130301580
iterator_v2: 1025,vertica_writer,vertica_writer,public.booking_cancellation,dm_maker_sandbox.b2b_ab_data_20210419,7731680662453010698,5940067604787309889
iterator_v2: 1132,vertica_writer,vertica_writer,transfers.transfer_amount_settings_history,dm_maker_sandbox.historical_data_completeness,770802361246347358,1564456047364042239
iterator_v2: 1173,vertica_writer,vertica_writer,public.booking,dm_maker_sandbox.filters_in_searches_daily_v2,3120000265886404500,5690391649107274658
iterator_v2: 1445,vertica_writer,vertica_writer,extranet.hotels_rateallotmentplan_history,dm_maker_sandbox.extranet_rates_data_aggregated_v2,6999939910804717324,3424683711042428027
iterator_v2: 656,vertica_writer,vertica_writer,analytics.sessions,dm_maker_sandbox.session_overwrite_test,5891324045777245671,6576570516597182544
iterator_v2: 120,vertica_writer,vertica_writer,public.booking,actualize.booking_repeat_webuser,3120000265886404500,98058821108851051
iterator_v2: 1003,vertica_writer,vertica_writer,partners.partners_partner,dm_maker_sandbox.cost_processing_partner_modifier_v2,3457492960342642988,560235098710247821
iterator_v2: 202,vertica_writer,vertica_writer,public.session_yield_v2,dm_maker_sandbox.media_yield,3670054705379926121,712142552255598204
iterator_v2: 251,vertica_writer,vertica_writer,ppc.yandex_account,ppc.yandex_sessions_cost_after_20180101_v2,2590428566399771915,7311833568001296291
iterator_v2: 1230,vertica_writer,vertica_writer,weblogs2.hc_event,dm_maker_sandbox.b2b_registration_form_channel_check_duplicates_v2,7147512082231993025,7210934076007330564
iterator_v2: 1423,vertica_writer,vertica_writer,ostrota.fidelity_fidelityaccounttype,analytics.order_descriptive_attribute,7164336259183570995,8009192990517496847
iterator_v2: 634,vertica_writer,vertica_writer,analytics.product_sessions,analytics.attribution_order_hotel_channels,3502172141479995682,2365473365588680476
iterator_v2: 455,vertica_writer,vertica_writer,content.otachain,dm_maker_sandbox.bar_coverage,8340219548078429622,5985563053266350412
iterator_v2: 363,vertica_writer,vertica_writer,partners.b2b_b2bordergroup,actualize.payment_b2b,6041638097117761213,2830022106865296068
iterator_v2: 660,vertica_writer,vertica_writer,analytics.currency_converter,dm_maker_sandbox.sessions_adunits_v2,2726130926009016445,2942473646078309295
iterator_v2: 228,vertica_writer,vertica_writer,accota.api_booking,dm_maker_sandbox.affota_order,3734936741262710070,3718734554250209010
iterator_v2: 1384,vertica_writer,vertica_writer,analytics.currency_converter,dm_maker_sandbox.session_multichannel_v6,2726130926009016445,920606748632688632
iterator_v2: 797,vertica_writer,vertica_writer,partners.b2b_b2bordergroup,dm_maker_sandbox.payota_data_v7,6041638097117761213,7749095641659141345
iterator_v2: 1174,vertica_writer,vertica_writer,partners.partners_manager,dm_maker_sandbox.b2b_product_monitoring_tool_v3,1599781389087840732,1874597493371221951
iterator_v2: 568,vertica_writer,vertica_writer,analytics.supplier_otahotel_pricing_history,dm_maker_sandbox.inventory_dahsboard_data,3010956096763644081,4418729732885224203
